STT,Thoi gian,File,Loai thay doi,Noi dung cu,Noi dung moi,Ghi chu
1,09/08/2026 11:20,D:\QG\qgroundcontrol\custom\HTI\qml\HTILeftToolBar.qml,Thay doi icon,"iconSource: ""/res/gear-white.svg""",iconSource: "qrc:/res/gear-white.svg",Sua duong dan icon Settings
2,09/08/2026 11:30,D:\QG\qgroundcontrol\custom\HTI\qml\HTILeftToolBar.qml,Thay doi icon,"iconSource: ""qrc:/res/gear-white.svg""",iconSource: "qrc:/res/Gears.svg",Doi sang icon Gears 3 banh rang
3,09/08/2026 11:41,D:\QG\qgroundcontrol\custom\HTI\qml\HTILeftToolBar.qml,Thay doi icon,"iconSource: ""qrc:/res/Gears.svg""",iconSource: "qrc:/res/QGCLogoBlack.svg",Doi sang QGCLogoBlack (khong hien thi)
4,09/08/2026 11:44,D:\QG\qgroundcontrol\custom\HTI\qml\HTILeftToolBar.qml,Thay doi icon,"iconSource: ""qrc:/res/QGCLogoBlack.svg""",iconSource: "qrc:/res/InstrumentValueIcons/cog.svg",Thu icon cog.svg
5,09/08/2026 11:50,D:\QG\qgroundcontrol\custom\HTI\qml\HTILeftToolBar.qml,Thay doi icon thanh cong,"iconSource: ""qrc:/res/InstrumentValueIcons/cog.svg""",iconSource: "qrc:/res/gear-black.svg",Icon Settings hien thi thanh cong (banh rang)
6,09/08/2026 11:56,D:\QG\qgroundcontrol\custom\HTI\qml\FlyViewCustomLayer.qml,Them settings dialog,"mainWindow.showSettingsTool()",settingsDialog.visible = true,Tao dialog nho thay vi full man hinh
7,09/08/2026 11:56,D:\QG\qgroundcontrol\custom\HTI\qml\FlyViewCustomLayer.qml,Tao dialog moi,NULL,Tao HTISettingsDialog.qml,Dialog nho voi nut Close
8,14/08/2026 09:00,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIAltitudeGauge.qml;C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedGauge.qml;C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\resources.qrc,Thay doi visual telemetry,Frame Speed_Alt_440x220.png + text telemetry QML,Su dung asset 440x220 lam nen chung cho Altitude va Speed; giu du lieu dong
9,14/08/2026 09:30,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIAltitudeGauge.qml;C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedGauge.qml,Can chinh overlay telemetry,Dieu chinh vi tri va co chu de tach rieng so lieu va don vi tren gauge nho
10,14/08/2026 10:00,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedAltitudeGauge.qml;C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIBottomRightHud.qml,Tich hop gauge Altitude va Speed thanh mot component dung chung background 440x220,Bo crop va giu PreserveAspectFit; thay hai gauge cu bang gauge ket hop
11,14/08/2026 10:30,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIBottomRightHud.qml,Tang kich thuoc gauge ket hop,Mo rong gauge tu gioi han 88 len 104 px va giam khoang cach layout de can doi voi Attitude va Heading
12,14/08/2026 11:00,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedAltitudeGauge.qml;C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIBottomRightHud.qml,Phong to va can chinh typography,Speed+Altitude lon hon gauge co so 1.2 lan; tach rieng so va don vi; scale font theo height; can baseline voi Attitude va Heading
13,14/08/2026 11:30,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedAltitudeGauge.qml,Can chinh visual theo mau instrument panel,Them moc toc do 0-120 theo ty le dial; can lai tam dial, typography va overlay tren frame chung
14,14/08/2026 12:00,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedAltitudeGauge.qml;C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIBottomRightHud.qml,Tinh chinh scale va vi tri moc dial,Mo rong HUD; tang Speed+Altitude 20-25%; dua nhan 0-120 ra cung ngoai va can baseline voi Attitude/Heading
15,14/08/2026 12:30,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedAltitudeGauge.qml;C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIBottomRightHud.qml,Them chu thich tieng Viet cho thong so giao dien,Giai thich truc tiep cach chinh size; vi tri; font; tam dial; ban kinh moc va spacing
16,14/08/2026 13:00,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTISpeedAltitudeGauge.qml,Can mốc toc do vao trong vong dial,Giam ban kinh nhan; can cung -125 den 125 do; scale vung nhan theo chieu cao gauge
17,14/08/2026 13:30,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIBottomRightHud.qml,Phong to Attitude gauge,Tang rieng Attitude 12 phan tram va mo rong HUD de tranh bi cat
18,14/08/2026 13:45,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\HTIBottomRightHud.qml,Phong to Heading gauge,Tang rieng Heading 12 phan tram va mo rong HUD de tranh bi cat
19,14/08/2026 14:00,C:\Users\ADMIN\Desktop\QG\qgroundcontrol\custom\HTI\qml\FlyViewCustomLayer.qml,Dich telemetry HUD sang trai,Tang right margin them 16 px de Heading khong cham ria man hinh
